Date,Scan ID,Release Version,Observation Day,HC Threshold Used,Universe,After RSI,After Delivery,After ATR,After Risk,After RR,After Volume,After Score,Final HC
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,55,573,439,298,291,207,103,19,0,0
2026-06-09,scan_manual_1780994993_a2c72f,R1.0,2,55,573,417,295,287,193,96,17,4,4
2026-06-11,scan_auto_1781149742_1b50e6,R1.0,4,55,573,376,275,265,135,64,22,4,0
2026-06-11,scan_auto_1781119968_378a72,R1.0,4,55,547,380,281,267,185,97,31,2,1
2026-06-12,scan_manual_1781204781_605845,R1.0,5,55,572,350,241,235,182,80,17,1,1
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,55,573,349,241,234,182,84,19,6,5
2026-06-12,scan_manual_1781246696_15a996,R1.0,5,55,573,349,241,234,182,84,19,6,4
2026-06-12,scan_auto_1781246107_1ed9ec,R1.0,5,55,573,424,301,295,184,89,11,2,2
2026-06-12,scan_manual_1781251418_db0822,R1.0,5,55,573,349,241,234,182,84,19,6,4
2026-06-13,scan_auto_1781322911_ba2c24,R1.0,6,55,573,475,350,338,258,128,53,10,9
